NO,TEMP,RH,DATE,TIME
259,21.7,89.6,13/02/2025,11:02:01
260,21.8,89.6,13/02/2025,11:12:01
261,21.8,89.6,13/02/2025,11:22:01
262,21.8,89.6,13/02/2025,11:32:01
263,21.8,89.4,13/02/2025,11:42:01
264,21.9,89.4,13/02/2025,11:52:01
265,21.9,89.5,13/02/2025,12:02:01
266,21.9,89.6,13/02/2025,12:12:01
267,22.0,89.7,13/02/2025,12:22:01
268,22.0,89.7,13/02/2025,12:32:01
269,22.1,89.3,13/02/2025,12:42:01
270,22.2,89.1,13/02/2025,12:52:01
271,22.2,89.1,13/02/2025,13:02:01
272,22.3,89.4,13/02/2025,13:12:01
273,22.3,89.3,13/02/2025,13:22:01
274,22.4,88.9,13/02/2025,13:32:01
275,22.4,89.0,13/02/2025,13:42:01
276,22.4,88.7,13/02/2025,13:52:01
277,22.5,88.6,13/02/2025,14:02:01
278,22.5,88.5,13/02/2025,14:12:01
279,22.6,88.7,13/02/2025,14:22:01
280,22.6,88.9,13/02/2025,14:32:01
281,22.7,88.9,13/02/2025,14:42:01
282,22.8,88.7,13/02/2025,14:52:01
283,22.8,88.3,13/02/2025,15:02:01
284,22.9,88.1,13/02/2025,15:12:01
285,22.9,88.2,13/02/2025,15:22:01
286,23.0,88.1,13/02/2025,15:32:01
287,23.0,86.4,13/02/2025,15:42:01
288,23.0,87.8,13/02/2025,15:52:01
289,23.1,85.8,13/02/2025,16:02:01
290,23.0,75.4,13/02/2025,16:12:01
291,23.0,73.5,13/02/2025,16:22:01
292,23.1,75.1,13/02/2025,16:32:01
293,23.2,76.0,13/02/2025,16:42:01
294,23.3,77.6,13/02/2025,16:52:01
295,23.3,76.6,13/02/2025,17:02:01
296,23.4,79.2,13/02/2025,17:12:01
297,23.4,79.0,13/02/2025,17:22:01
298,23.4,80.7,13/02/2025,17:32:01
299,23.4,81.0,13/02/2025,17:42:01
300,23.4,81.6,13/02/2025,17:52:01
301,23.4,81.0,13/02/2025,18:02:01
302,23.3,80.4,13/02/2025,18:12:01
303,23.3,79.8,13/02/2025,18:22:01
304,23.3,79.6,13/02/2025,18:32:01
305,23.3,79.9,13/02/2025,18:42:01
306,23.3,80.2,13/02/2025,18:52:01
307,23.2,79.5,13/02/2025,19:02:01
308,23.2,80.4,13/02/2025,19:12:01
309,23.2,80.8,13/02/2025,19:22:01
310,23.2,81.5,13/02/2025,19:32:01
311,23.2,81.6,13/02/2025,19:42:01
312,23.2,80.9,13/02/2025,19:52:01
313,23.1,81.0,13/02/2025,20:02:01
314,23.0,81.2,13/02/2025,20:12:01
315,22.9,81.4,13/02/2025,20:22:01
316,22.8,81.2,13/02/2025,20:32:01
317,22.8,81.6,13/02/2025,20:42:01
318,22.7,81.8,13/02/2025,20:52:01
319,22.6,82.1,13/02/2025,21:02:01
320,22.6,82.3,13/02/2025,21:12:01
321,22.5,82.4,13/02/2025,21:22:01
322,22.5,82.6,13/02/2025,21:32:01
323,22.4,82.8,13/02/2025,21:42:01
324,22.4,82.9,13/02/2025,21:52:01
325,22.3,83.0,13/02/2025,22:02:01
326,22.3,83.1,13/02/2025,22:12:01
327,22.3,83.2,13/02/2025,22:22:01
328,22.2,83.5,13/02/2025,22:32:01
329,22.2,83.7,13/02/2025,22:42:01
330,22.2,83.7,13/02/2025,22:52:01
331,22.2,83.7,13/02/2025,23:02:01
332,22.2,83.7,13/02/2025,23:12:01
333,22.2,83.4,13/02/2025,23:22:01
334,22.2,83.7,13/02/2025,23:32:01
335,22.1,83.5,13/02/2025,23:42:01
336,22.1,83.4,13/02/2025,23:52:01
337,22.0,83.5,14/02/2025,0:02:01
338,22.0,83.6,14/02/2025,0:12:01
339,22.0,83.8,14/02/2025,0:22:01
340,21.9,84.0,14/02/2025,0:32:01
341,21.9,83.8,14/02/2025,0:42:01
342,21.8,83.9,14/02/2025,0:52:01
343,21.8,83.9,14/02/2025,1:02:01
344,21.8,84.0,14/02/2025,1:12:01
345,21.7,84.0,14/02/2025,1:22:01
346,21.7,84.1,14/02/2025,1:32:01
347,21.7,84.3,14/02/2025,1:42:01
348,21.7,84.4,14/02/2025,1:52:01
